PMID,Title,Abstract,Journal,Year,Authors
31451685,EZHIP constrains Polycomb Repressive Complex 2 activity in germ cells.,"The Polycomb group of proteins is required for the proper orchestration of gene expression due to its role in maintaining transcriptional silencing. It is composed of several chromatin modifying complexes, including Polycomb Repressive Complex 2 (PRC2), which deposits H3K27me2/3. Here, we report the identification of a cofactor of PRC2, EZHIP (EZH1/2 Inhibitory Protein), expressed predominantly in the gonads. EZHIP limits the enzymatic activity of PRC2 and lessens the interaction between the core complex and its accessory subunits, but does not interfere with PRC2 recruitment to chromatin. Deletion of Ezhip in mice leads to a global increase in H3K27me2/3 deposition both during spermatogenesis and at late stages of oocyte maturation. This does not affect the initial number of follicles but is associated with a reduction of follicles in aging. Our results suggest that mature oocytes Ezhip-/- might not be fully functional and indicate that fertility is strongly impaired in Ezhip-/- females. Altogether, our study uncovers EZHIP as a regulator of chromatin landscape in gametes.",Nat Commun,2019,"['Ragazzini R', 'Pérez-Palacios R', 'Baymaz IH', 'Diop S', 'Ancelin K', 'Zielinski D', 'Michaud A', 'Givelet M', 'Borsos M', 'Aflaki S', 'Legoix P', 'Jansen PWTC', 'Servant N', 'Torres-Padilla ME', ""Bourc'his D"", 'Fouchet P', 'Vermeulen M', 'Margueron R']"
31434880,Genotoxic stress-triggered β-catenin/JDP2/PRMT5 complex facilitates reestablishing glutathione homeostasis.,"The mechanisms underlying how cells subjected to genotoxic stress reestablish reduction-oxidation (redox) homeostasis to scavenge genotoxic stress-induced reactive oxygen species (ROS), which maintains the physiological function of cellular processes and cell survival, remain unclear. Herein, we report that, via a TCF-independent mechanism, genotoxic stress induces the enrichment of β-catenin in chromatin, where it forms a complex with ATM phosphorylated-JDP2 and PRMT5. This elicits histone H3R2me1/H3R2me2s-induced transcriptional activation by the recruitment of the WDR5/MLL methyltransferase complexes and concomitant H3K4 methylation at the promoters of multiple genes in GSH-metabolic cascade. Treatment with OICR-9429, a small-molecule antagonist of the WDR5-MLL interaction, inhibits the β-catenin/JDP2/PRMT5 complex-reestablished GSH metabolism, leading to a lethal increase in the already-elevated levels of ROS in the genotoxic-agent treated cancer cells. Therefore, our results unveil a plausible role for β-catenin in reestablishing redox homeostasis upon genotoxic stress and shed light on the mechanisms of inducible chemotherapy resistance in cancer.",Nat Commun,2019,"['Cao L', 'Wu G', 'Zhu J', 'Tan Z', 'Shi D', 'Wu X', 'Tang M', 'Li Z', 'Hu Y', 'Zhang S', 'Yu R', 'Mo S', 'Wu J', 'Song E', 'Li M', 'Song L', 'Li J']"
31431618,Mapping histone modifications in low cell number and single cells using antibody-guided chromatin tagmentation (ACT-seq).,"Modern next-generation sequencing-based methods have empowered researchers to assay the epigenetic states of individual cells. Existing techniques for profiling epigenetic marks in single cells often require the use and optimization of time-intensive procedures such as drop fluidics, chromatin fragmentation, and end repair. Here we describe ACT-seq, a streamlined method for mapping genome-wide distributions of histone tail modifications, histone variants, and chromatin-binding proteins in a small number of or single cells. ACT-seq utilizes a fusion of Tn5 transposase to Protein A that is targeted to chromatin by a specific antibody, allowing chromatin fragmentation and sequence tag insertion specifically at genomic sites presenting the relevant antigen. The Tn5 transposase enables the use of an index multiplexing strategy (iACT-seq), which enables construction of thousands of single-cell libraries in one day by a single researcher without the need for drop-based fluidics or visual sorting. We conclude that ACT-seq present an attractive alternative to existing techniques for mapping epigenetic marks in single cells.",Nat Commun,2019,"['Carter B', 'Ku WL', 'Kang JY', 'Hu G', 'Perrie J', 'Tang Q', 'Zhao K']"
31420217,One-Carbon Metabolism Supports S-Adenosylmethionine and Histone Methylation to Drive Inflammatory Macrophages.,"Activated macrophages adapt their metabolic pathways to drive the pro-inflammatory phenotype, but little is known about the biochemical underpinnings of this process. Here, we find that lipopolysaccharide (LPS) activates the pentose phosphate pathway, the serine synthesis pathway, and one-carbon metabolism, the synergism of which drives epigenetic reprogramming for interleukin-1β (IL-1β) expression. Glucose-derived ribose and one-carbon units fed by both glucose and serine metabolism are synergistically integrated into the methionine cycle through de novo ATP synthesis and fuel the generation of S-adenosylmethionine (SAM) during LPS-induced inflammation. Impairment of these metabolic pathways that feed SAM generation lead to anti-inflammatory outcomes, implicating SAM as an essential metabolite for inflammatory macrophages. Mechanistically, SAM generation maintains a relatively high SAM:S-adenosylhomocysteine ratio to support histone H3 lysine 36 trimethylation for IL-1β production. We therefore identify a synergistic effect of glucose and amino acid metabolism on orchestrating SAM availability that is intimately linked to the chromatin state for inflammation.",Mol. Cell,2019,"['Yu W', 'Wang Z', 'Zhang K', 'Chi Z', 'Xu T', 'Jiang D', 'Chen S', 'Li W', 'Yang X', 'Zhang X', 'Wu Y', 'Wang D']"
31408999,Epigenetic Regulation of Adipogenic Differentiation by Histone Lysine Demethylation.,"Obesity is a rising public health problem that contributes to the development of several metabolic diseases and cancer. Adipocyte precursors outside of adipose depots that expand due to overweight and obesity may have a negative impact on human health. Determining how progenitor cells acquire a preadipocyte commitment and become mature adipocytes remains a significant challenge. Over the past several years, we have learned that the establishment of cellular identity is widely influenced by changes in histone marks, which in turn modulate chromatin structure. In this regard, histone lysine demethylases (KDMs) are now emerging as key players that shape chromatin through their ability to demethylate almost all major histone methylation sites. Recent research has shown that KDMs orchestrate the chromatin landscape, which mediates the activation of adipocyte-specific genes. In addition, KDMs have functions in addition to their enzymatic activity, which are beginning to be revealed, and their dysregulation seems to be related to the development of metabolic disorders. In this review, we highlight the biological functions of KDMs that contribute to the establishment of a permissive or repressive chromatin environment during the mesenchymal stem cell transition into adipocytes. Understanding how KDMs regulate adipogenesis might prompt the development of new strategies for fighting obesity-related diseases.",Int J Mol Sci,2019,"['Nic-Can GI', 'Rodas-Junco BA', 'Carrillo-Cocom LM', 'Zepeda-Pedreguera A', 'Peñaloza-Cuevas R', 'Aguilar-Ayala FJ', 'Rojas-Herrera RA']"
31399344,The Histone Deacetylase SIRT6 Restrains Transcription Elongation via Promoter-Proximal Pausing.,"Transcriptional regulation in eukaryotes occurs at promoter-proximal regions wherein transcriptionally engaged RNA polymerase II (Pol II) pauses before proceeding toward productive elongation. The role of chromatin in pausing remains poorly understood. Here, we demonstrate that the histone deacetylase SIRT6 binds to Pol II and prevents the release of the negative elongation factor (NELF), thus stabilizing Pol II promoter-proximal pausing. Genetic depletion of SIRT6 or its chromatin deficiency upon glucose deprivation causes intragenic enrichment of acetylated histone H3 at lysines 9 (H3K9ac) and 56 (H3K56ac), activation of cyclin-dependent kinase 9 (CDK9)-that phosphorylates NELF and the carboxyl terminal domain of Pol II-and enrichment of the positive transcription elongation factors MYC, BRD4, PAF1, and the super elongation factors AFF4 and ELL2. These events lead to increased expression of genes involved in metabolism, protein synthesis, and embryonic development. Our results identified SIRT6 as a Pol II promoter-proximal pausing-dedicated histone deacetylase.",Mol. Cell,2019,"['Etchegaray JP', 'Zhong L', 'Li C', 'Henriques T', 'Ablondi E', 'Nakadai T', 'Van Rechem C', 'Ferrer C', 'Ross KN', 'Choi JE', 'Samarakkody A', 'Ji F', 'Chang A', 'Sadreyev RI', 'Ramaswamy S', 'Nechaev S', 'Whetstine JR', 'Roeder RG', 'Adelman K', 'Goren A', 'Mostoslavsky R']"
31383640,PHF19 promotes multiple myeloma tumorigenicity through PRC2 activation and broad H3K27me3 domain formation.,"Dysregulation of polycomb repressive complex 2 (PRC2) promotes oncogenesis partly through its enzymatic function for inducing trimethylation of histone H3 lysine 27 (H3K27me3). However, it remains to be determined how PRC2 activity is regulated in normal and diseased settings. We here report a PRC2-associated cofactor, PHD finger protein 19 (PHF19; also known as polycomb-like 3), as a crucial mediator of tumorigenicity in multiple myeloma (MM). Overexpression and/or genomic amplification of PHF19 is found associated with malignant progression of MM and plasma cell leukemia, correlating to worse treatment outcomes. Using various MM models, we demonstrated a critical requirement of PHF19 for tumor growth in vitro and in vivo. Mechanistically, PHF19-mediated oncogenic effect relies on its PRC2-interacting and chromatin-binding functions. Chromatin immunoprecipitation followed by sequencing profiling showed a critical role for PHF19 in maintaining the H3K27me3 landscape. PHF19 depletion led to loss of broad H3K27me3 domains, possibly due to impaired H3K27me3 spreading from cytosine guanine dinucleotide islands, which is reminiscent to the reported effect of an ""onco""-histone mutation, H3K27 to methionine (H3K27M). RNA-sequencing-based transcriptome profiling in MM lines also demonstrated a requirement of PHF19 for optimal silencing of PRC2 targets, which include cell cycle inhibitors and interferon-JAK-STAT signaling genes critically involved in tumor suppression. Correlation studies using patient sample data sets further support a clinical relevance of the PHF19-regulated pathways. Lastly, we show that MM cells are generally sensitive to PRC2 inhibitors. Collectively, this study demonstrates that PHF19 promotes MM tumorigenesis through enhancing H3K27me3 deposition and PRC2's gene-regulatory functions, lending support for PRC2 blockade as a means for MM therapeutics.",Blood,2019,"['Ren Z', 'Ahn JH', 'Liu H', 'Tsai YH', 'Bhanu NV', 'Koss B', 'Allison DF', 'Ma A', 'Storey AJ', 'Wang P', 'Mackintosh SG', 'Edmondson RD', 'Groen RWJ', 'Martens AC', 'Garcia BA', 'Tackett AJ', 'Jin J', 'Cai L', 'Zheng D', 'Wang GG']"
31363749,KDM2 proteins constrain transcription from CpG island gene promoters independently of their histone demethylase activity.,"CpG islands (CGIs) are associated with the majority of mammalian gene promoters and function to recruit chromatin modifying enzymes. It has therefore been proposed that CGIs regulate gene expression through chromatin-based mechanisms, however in most cases this has not been directly tested. Here, we reveal that the histone H3 lysine 36 (H3K36) demethylase activity of the CGI-binding KDM2 proteins contributes only modestly to the H3K36me2-depleted state at CGI-associated gene promoters and is dispensable for normal gene expression. Instead, we discover that KDM2 proteins play a widespread and demethylase-independent role in constraining gene expression from CGI-associated gene promoters. We further show that KDM2 proteins shape RNA Polymerase II occupancy but not chromatin accessibility at CGI-associated promoters. Together this reveals a demethylase-independent role for KDM2 proteins in transcriptional repression and uncovers a new function for CGIs in constraining gene expression.",Nucleic Acids Res.,2019,"['Turberfield AH', 'Kondo T', 'Nakayama M', 'Koseki Y', 'King HW', 'Koseki H', 'Klose RJ']"
31357933,Cut-C: cleavage under tethered nuclease for conformational capture.,"BACKGROUND: Deciphering the 3D structure of the genome is essential for elucidating the regulatory mechanisms of gene expression in detail. Existing methods, such as chromosome conformation capture (3C) and Hi-C have enabled the identification of novel aspects of chromatin structure. Further identification of protein-centric chromatin conformation is enabled by coupling the Hi-C procedure with a conventional chromatin immunoprecipitation assay. However, these methods are time-consuming and require independent methods for validation.
RESULTS: To simultaneously identify protein-centric chromatin conformation and target protein localization, we have developed Cut-C, a method that combines antibody-mediated cleavage by tethered nuclease with chromosome conformation capture to identify chromatin interactions mediated by a protein of interest. Applying Cut-C to H3K4me3, a histone modification enriched at active gene promoters, we have successfully identified chromatin loops mediated by H3K4me3 along with the genome-wide distribution of H3K4me3. Cut-C also identified chromatin loops mediated by CTCF, validating the general applicability of the method.
CONCLUSIONS: Cut-C identifies protein-centric chromatin conformations along with the genome-wide distribution of target proteins using simple procedures. The simplified protocol will improve the efficiency of analysing chromatin conformation using precious materials, such as clinical samples.",BMC Genomics,2019,"['Shimbo T', 'Kawamura M', 'Wijaya E', 'Takaki E', 'Kaneda Y', 'Tamai K']"
31331983,TAF-ChIP: an ultra-low input approach for genome-wide chromatin immunoprecipitation assay.,"Chromatin immunoprecipitation (ChIP) followed by next generation sequencing (ChIP-Seq) is a powerful technique to study transcriptional regulation. However, the requirement of millions of cells to generate results with high signal-to-noise ratio precludes it in the study of small cell populations. Here, we present a tagmentation-assisted fragmentation ChIP (TAF-ChIP) and sequencing method to generate high-quality histone profiles from low cell numbers. The data obtained from the TAF-ChIP approach are amenable to standard tools for ChIP-Seq analysis, owing to its high signal-to-noise ratio. The epigenetic profiles from TAF-ChIP approach showed high agreement with conventional ChIP-Seq datasets, thereby underlining the utility of this approach.",Life Sci Alliance,2019,"['Akhtar J', 'More P', 'Albrecht S', 'Marini F', 'Kaiser W', 'Kulkarni A', 'Wojnowski L', 'Fontaine JF', 'Andrade-Navarro MA', 'Silies M', 'Berger C']"
31331073,Extra Virgin Olive Oil Contains a Phenolic Inhibitor of the Histone Demethylase LSD1/KDM1A.,"The lysine-specific histone demethylase 1A (LSD1) also known as lysine (K)-specific demethylase 1A (KDM1A) is a central epigenetic regulator of metabolic reprogramming in obesity-associated diseases, neurological disorders, and cancer. Here, we evaluated the ability of oleacein, a biophenol secoiridoid naturally present in extra virgin olive oil (EVOO), to target LSD1. Molecular docking and dynamic simulation approaches revealed that oleacein could target the binding site of the LSD1 cofactor flavin adenosine dinucleotide with high affinity and at low concentrations. At higher concentrations, oleacein was predicted to target the interaction of LSD1 with histone H3 and the LSD1 co-repressor (RCOR1/CoREST), likely disturbing the anchorage of LSD1 to chromatin. AlphaScreen-based in vitro assays confirmed the ability of oleacein to act as a direct inhibitor of recombinant LSD1, with an IC",Nutrients,2019,"['Cuyàs E', 'Gumuzio J', 'Lozano-Sánchez J', 'Carreras D', 'Verdura S', 'Llorach-Parés L', 'Sanchez-Martinez M', 'Selga E', 'Pérez GJ', 'Scornik FS', 'Brugada R', 'Bosch-Barrera J', 'Segura-Carretero A', 'Martin ÁG', 'Encinar JA', 'Menendez JA']"
31325197,Delphinidin suppresses breast carcinogenesis through the HOTAIR/microRNA-34a axis.,"Delphinidin, one of the main anthocyanidins, has potent anti-cancer properties. In this study, we investigated the effect of delphinidin on 1-methyl-1-nitrosourea (MNU)-induced breast carcinogenesis on rats and the mechanism of delphinidin via negative regulation of the HOTAIR/microRNA-34a axis. We found administration of delphinidin could effectively suppress MNU-induced mammal breast carcinogenesis. Delphinidin downregulated the level of HOTAIR and upregulated miR-34a in breast carcinogenesis. Western blot analysis confirmed that delphinidin treatment can significantly decrease the expression of β-catenin, glycogen synthase kinase-3β (Gsk3β), c-Myc, cyclin-D1, and matrix metalloproteinase-7(MMP-7) expression in breast cancer cells, and inhibition of miR-34a significantly reduced the effect of delphinidin on c-Myc, cyclin-D1, and MMP-7. HOTAIR overexpression also blocked the effect of delphinidin on miR-34a and the Wnt/β-catenin signaling pathway in MDA-MB-231 cells. RNA immunoprecipitation (RIP) assay and chromatin immunoprecipitation (ChIP) assay results showed that delphinidin upregulated miR-34a by inhibiting HOTAIR, coupled with enhancement of the zeste homolog 2 (EZH2) and histone H3 Lys27 trimethylation (H3K27me3). This study indicated that delphinidin may potentially suppress breast carcinogenesis and exert its anti-cancer effect through the HOTAIR/miR-34a axis. These findings provided new evidence for the use of delphinidin in preventing breast carcinogenesis.",Cancer Sci.,2019,"['Han B', 'Peng X', 'Cheng D', 'Zhu Y', 'Du J', 'Li J', 'Yu X']"
31318980,"Immunohistochemical assessment of chromatin licensing and DNA replication factor 1, geminin, and γ-H2A.X in oral epithelial precursor lesions and squamous cell carcinoma.","BACKGROUND: Carcinogenesis occurs when the cell cycle is compromised. Chromatin licensing and DNA replication factor 1, geminin, and γ-H2A histone family member X are expressed in cells in G
METHODS: Chromatin licensing and DNA replication factor 1, geminin, and γ-H2A histone family member X expression levels were immunohistochemically examined in tissue specimens from 55 patients with oral epithelial precursor lesions and 50 patients with oral squamous cell carcinoma. Associations of clinicopathological variables with marker expression were assessed.
RESULTS: Chromatin licensing and DNA replication factor 1 was expressed in the prickle cell layer of oral epithelial precursor lesions and many carcinoma cells of oral squamous cell carcinoma. Geminin reactivity was widely distributed in high-grade dysplasia and oral squamous cell carcinoma rather than low-grade or no dysplastic cases. γ-H2A histone family member X was expressed in the superficial layer of oral epithelial precursor lesions and scattered carcinoma cells of oral squamous cell carcinoma. In oral squamous cell carcinoma, lower geminin expression was observed in recurrent cases. Geminin and γ-H2A histone family member X were associated with the degree of differentiation and mode of invasion.
CONCLUSION: Chromatin licensing and DNA replication factor 1, geminin, and γ-H2A histone family member X expression levels were correlated with oral carcinogenesis; these markers were associated with clinicopathological behaviors in oral squamous cell carcinoma.",J. Oral Pathol. Med.,2019,"['Siril YJ', 'Kouketsu A', 'Oikawa M', 'Takahashi T', 'Kumamoto H']"
