PMID,Title,Abstract,Journal,Year,Authors,
31704812,Cytoplasmic Mineralocorticoid Receptor Expression Predicts Dismal Local Relapse-free Survival in Non-triple-negative Breast Cancer.,"BACKGROUND/AIM: The aim of the study was to investigate the prognostic role of androgen receptor (AR), mineralocorticoid receptor (MR) and glucocorticoid receptor β (GRβ) expression in HER-2 negative breast cancer patients.
MATERIALS AND METHODS: The study population (n=152) was enriched with triple-negative breast cancers (TNBC) (n=96; 63.2%). The median follow-up time was 100 months. AR, MR and GRβ immunocytochemical staining was compared with that of epithelial-mesenchymal transition (EMT) markers (vimentin, SIP1, ZEB1).
RESULTS: High expression of cytoplasmic MR was associated with dismal local relapse-free survival (RR=13.923; 95%CI=1.071-181.045; p=0.044) in tumours with non-TNBC phenotype. AR and GRβ were more frequently expressed in ER+/PR+/HER2- tumours, while cytoplasmic MR was more often expressed in TNBC tumours (for all, p<0.0005). GRβ and AR were associated with decreased vimentin expression (p<0.005), indicating their association with attenuated EMT.
CONCLUSION: Cytoplasmic MR expression is a strong predictor of local recurrence in non-metastatic breast cancer patients with non-TNBC tumour phenotype.",Anticancer Res.,2019,"['Jääskeläinen A', 'Jukkola A', 'Haapasaari KM', 'Auvinen P', 'Soini Y', 'Karihtala P']",
31697952,Taurine up-regulated 1 accelerates tumorigenesis of colon cancer by regulating miR-26a-5p/MMP14/p38 MAPK/Hsp27 axis in vitro and in vivo.,"AIMS: The purpose of this study was to investigate the role of long non-coding RNA taurine-upregulated gene 1 (TUG1) in colon cancer (Cc) and related molecular mechanisms.
MATERIALS AND METHODS: RT-qPCR, Western blot and immunohistochemistry were used to detect the expression of related proteins. BrdU and Transwell assays were used to detect cell proliferation and invasion, respectively. Immunofluorescence was used to detect the expression of Vimentin.
KEY FINDINGS: TUG1 expression was up-regulated in CaCO-2, SW620 and HT-29 cells, while miR-26a-5p was down-regulated. Bioinformatics analysis showed that miR-26a-5p was the target of TUG1, and the targeting relationship was further confirmed by dual-luciferase report analysis. Besides, matrix metalloproteinases-14 (MMP-14) was a target of mir-26a-5p. Knockdown of TUG1 by shRNA (sh-TUG1) inhibited MMP-14 expression. Functional analysis showed that sh-TUG1 significantly inhibited Cc cell proliferation, invasion and epithelial-mesenchymal transformation (EMT). Notably, miR-26a-5p inhibitor reversed the promotion of Cc caused by sh-TUG1. Mechanically, the overexpression of TUG1 significantly up-regulated the levels of MMP-14, VEGF, p-p38 mitogen-activated protein kinase (p-p38 MAPK) and p-HSP27 (heat shock protein 27), and promoted the proliferation, invasion and EMT of Cc cells. However, MAPK pathway inhibitor SB203580 has shown the opposite effect. Additionally, animal studies have shown that sh-TUG1 inhibited tumor growth and motility in vivo in the same way.
SIGNIFICANCE: This study demonstrated that TUG1 accelerates the development of colon cancer by regulating miR-26a-5p/MMP14/p38 MAPK/Hsp27 axis in vitro and in vivo. Therefore, TUG1 provides a new direction for the treatment of Cc.",Life Sci.,2019,"['Tian L', 'Zhao ZF', 'Xie L', 'Zhu JP']",
31666716,Controversies around epithelial-mesenchymal plasticity in cancer metastasis.,"Experimental evidence accumulated over decades has implicated epithelial-mesenchymal plasticity (EMP), which collectively encompasses epithelial-mesenchymal transition and the reverse process of mesenchymal-epithelial transition, in tumour metastasis, cancer stem cell generation and maintenance, and therapeutic resistance. However, the dynamic nature of EMP processes, the apparent need to reverse mesenchymal changes for the development of macrometastases and the likelihood that only minor cancer cell subpopulations exhibit EMP at any one time have made such evidence difficult to accrue in the clinical setting. In this Perspectives article, we outline the existing preclinical and clinical evidence for EMP and reflect on recent controversies, including the failure of initial lineage-tracing experiments to confirm a major role for EMP in dissemination, and discuss accumulating data suggesting that epithelial features and/or a hybrid epithelial-mesenchymal phenotype are important in metastasis. We also highlight strategies to address the complexities of therapeutically targeting the EMP process that give consideration to its spatially and temporally divergent roles in metastasis, with the view that this will yield a potent and broad class of therapeutic agents.",Nat. Rev. Cancer,2019,"['Williams ED', 'Gao D', 'Redfern A', 'Thompson EW']",
31646523,Calcium Signaling and the Regulation of Chemosensitivity in Cancer Cells: Role of the Transient Receptor Potential Channels.,"Cancer cells acquire the ability to modify the calcium signaling network by altering the expression and functions of cation channels, pumps or transporters. Calcium signaling pathways are involved in proliferation, angiogenesis, invasion, immune evasion, disruption of cell death pathways, ECM remodelling, epithelial-mesenchymal transition (EMT) and drug resistance. Among cation channels, a pivotal role is played by the Transient Receptor Potential non-selective cation-permeable receptors localized in plasma membrane, endoplasmic reticulum, mitochondria and lysosomes. Several findings indicate that the dysregulation in calcium signaling induced by TRP channels is responsible for cancer growth, metastasis and chemoresistance. Drug resistance represents a major limitation in the application of current therapeutic regimens and several efforts are spent to overcome it. Here we describe the ability of Transient Receptor Potential Channels to modify, by altering the intracellular calcium influx, the cancer cell sensitivity to chemotherapeutic drugs.",Adv. Exp. Med. Biol.,2020,"['Santoni G', 'Morelli MB', 'Marinelli O', 'Nabissi M', 'Santoni M', 'Amantini C']",
31637536,Ubiquitin-specific peptidase 39 regulates the process of proliferation and migration of human ovarian cancer via p53/p21 pathway and EMT.,"Ovarian cancer is one of the most lethal gynecological cancers; owning to its late detection and chemoresistance, understanding the pathogenesis of this malignant tumor is much critical. Previous studies have reported that ubiquitin-specific peptidase 39 (USP39) is generally overexpressed in a variety of cancers, including hepatocellular carcinoma, gastric cancer and so forth. Furthermore, USP39 is proved to be associated with the proliferation of malignant tumors. However, the function and mechanism of USP39 in ovarian cancer have not been elucidated. In the present study, we observed that USP39 was frequently overexpressed in human ovarian cancer and was highly correlated with TNM stage. Suppression of USP39 markedly inhibited the growth and migration of ovarian cancer cell lines HO-8910 and SKOV3 and induced cell cycle G2/M arrest. Moreover, knockdown of USP39 inhibited ovarian tumor growth in a xenograft model. In addition, our findings indicated that cell cycle arrest induced by USP39 knockdown might be involved in p53/p21 signaling pathway. Furthermore, we found that the depletion of USP39 inhibited the migration of ovarian cancer cells via blocking epithelial-mesenchymal transition. Taken together, these results suggest that USP39 may play vital roles in the genesis and progression and may serve as a potential biomarker for diagnosis and therapeutic target of ovarian cancer.",Med. Oncol.,2019,"['Yan C', 'Yuan J', 'Xu J', 'Zhang G', 'Li X', 'Zhang B', 'Hu T', 'Huang X', 'Mao Y', 'Song G']",
31634547,Down-regulation of vimentin by triorganotin isothiocyanates-nuclear retinoid X receptor agonists: A proteomic approach.,An attempt has been made to delineate the role of natural and synthetic retinoid receptor ligands on vimentin expression in the human triple-negative breast cancer cells. The effects of currently synthesized triorganotin derivatives of the general formula R,Toxicol. Lett.,2020,"['Strouhalova D', 'Macejova D', 'Mosna B', 'Bobal P', 'Otevrel J', 'Lastovickova M', 'Brtko J', 'Bobalova J']",
31617652,Kinesin family member 18B: A contributor and facilitator in the proliferation and metastasis of cutaneous melanoma.,"Melanoma is the most aggressive type of cutaneous tumor and the occurrence of metastasis makes it resistant to almost all available treatment and becomes incorrigible. Hence, identifying metastasis-related biomarkers and effective therapeutic targets will assist in preventing metastasis and ameliorating cutaneous melanoma. In our present study, we reported kinesin family member 18B (KIF18B) as a novel contributor in cutaneous melanoma proliferation and metastasis, and it was found to be of great significance in predicting the prognosis of cutaneous melanoma patients. Bioinformatics analysis based on ONCOMINE, The Cancer Genome Atlas, and Genotype-Tissue Expression database revealed that KIF18B was highly expressed in cutaneous melanoma and remarkably correlated with unfavorable clinical outcomes. Consistently, the results of the quantitative real-time polymerase chain reaction exhibited that the expression of KIF18B was significantly higher in cutaneous melanoma cell lines than that in normal cells. In vitro, biological assays found that knockdown of KIF18B in cutaneous melanoma cells noticeably repressed cell proliferation, migration, and invasion, while inducing cell apoptosis. Moreover, the protein expression of E-cadherin was enhanced while the expression of N-cadherin, vimentin, and Snail was decreased in M14 cells after knocking down KIF18B. In addition, the phosphorylation of phosphoinositide 3-kinase (PI3K) and extracellular-signal-regulated kinase (ERK) was significantly suppressed in M14 cells with silenced KIF18B. Above all, our results indicated that the repression of cutaneous melanoma cell migration and proliferation caused by KIF18B depletion suggested an oncogenic role of KIF18B in cutaneous melanoma, which acts through modulating epithelial-mesenchymal transition and ERK/PI3K pathway.",J. Biochem. Mol. Toxicol.,2019,"['Yan H', 'Zhu C', 'Zhang L']",
31607134,Protein arginine methyltransferase 1 promotes epithelial-mesenchymal transition via TGF-β1/Smad pathway in hepatic carcinoma cells.,"Protein arginine methyltransferase 1 (PRMT1) is dysregulated in a number of human cancers. Herein, we report that PRMT1 expression is directly associated with epithelial-mesenchymal transition (EMT) in hepatic carcinoma cells. Firstly, we find that PRMT1 expression is higher in hepatic carcinoma tissues than that in normal liver tissues at both mRNA and protein levels, and higher expression of PRMT1 correlates with poor survival in liver tumors. The data in vitro reveals that PRMT1 knockdown inhibits the abilities of proliferation, migration and invasion, while PRMT1 overexpression promotes the above behaviors in hepatic carcinoma cells. Further studies indicate that PRMT1 knockdown remarkably decreases the expression of mesenchymal markers including Vimentin, Snail and N-cadherin, and upregulates expression of epithelial markers E-cadherin. Conversely, PRMT1 overexpression results in the opposite effects. Additionally, we identified that PRMT1 knockdown resulted in downregulation of TGF-β1, p-Smad2 and p-Smad3, while PRMT1 overexpression activated TGF-β1, p-Smad2 and p-Smad3. These findings suggest that PRMT1 promotes EMT in hepatic carcinoma cells probably via TGF-β1/Smad pathway, and might represent a novel anti-liver cancer strategy.",Neoplasma,2019,"['Wei H', 'Liu Y', 'Min J', 'Zhang Y', 'Wang J', 'Zhou M', 'Xiong E', 'Yu G', 'Zhou H', 'He J', 'Zeng J', 'Gong A', 'Xu M']",
31607129,"Effects of ME3 on the proliferation, invasion and metastasis of pancreatic cancer cells through epithelial-mesenchymal transition.","Malic enzyme 3 (ME3) aberrant expression contributes to the development of human malignancies. ME3 expression was higher in pancreatic cancer tissues than that in non-tumor tissues, and patients with higher ME3 levels had significantly shorter survival than those with lower levels analyzed by of Badea and TCGA databases. Further, the abilities of proliferation, migration and invasion in pancreatic cancer cells were inhibited by ME3 knockdown and were promoted by ME3 overexpression. Meanwhile, ME3 can promote EMT in pancreatic cancer cells possibly by regulation of TGF-β/Smad2/3 signaling pathway. In conclusion, ME3 is extensively involved in carcinogenesis of pancreatic cancer and may become a new candidate target for diagnosis, treatment and prognosis of pancreatic cancer.",Neoplasma,2019,"['Zhang Q', 'Li J', 'Tan XP', 'Zhao Q']",
31606381,Physcion 8-O-β-glucopyranoside induced ferroptosis via regulating miR-103a-3p/GLS2 axis in gastric cancer.,"AIM: Gastric cancer (GC) is a common human malignancy tumor of digestive tract in worldwide. Physcion 8-O-β-glucopyranoside (PG) exhibits anti-tumor effects in various cancer cells. This study aimed to explore the biological behavior effects of PG on GC cells, and determine its underlying mechanism.
MATERIAL AND METHODS: The effect of PG treatment on the ferroptotic GC cell death was detected by ROS level, intracellular Fe
RESULTS: PG-induced ferroptosis in GC cells through upregulating ROS level, intracellular Fe
CONCLUSION: Our studies confirmed that PG exerts pro-ferroptosis and anti-tumor effects in vitro and in vivo through regulating miR-103a-3p/GLS2 axis, thereby highlighting its therapeutic potential in GC.",Life Sci.,2019,"['Niu Y', 'Zhang J', 'Tong Y', 'Li J', 'Liu B']",
31586262,Outcome in serous ovarian cancer is not associated with LATS expression.,"BACKGROUND: Large tumor suppressor (LATS) proteins are putative tumor suppressors and poorly expressed associated with poor outcome in many cancers. A recent immunohistochemistry study showed that LATS protein expression correlated with poor outcome in serous ovarian cancer.
MATERIALS AND METHODS: We analyzed LATS expression in various ovarian cancer transcriptomic data sets and immunohistochemically assessed LATS protein expression in a Swiss ovarian tumor cohort. Results were compared to clinicopathological characteristics and outcome. We also compared LATS protein expression in serous ovarian cancer cell lines to their EMT status (Western blotting) and drug sensitivity (MTT assay).
RESULTS: The analysis of 15 different transcriptomic data sets showed that LATS2 was associated with poorer outcome, while LATS1 was irrelevant (HR = 1.19 and HR = 1.00, respectively). The TCGA-RNASeqV2 data set showed that low LATS1 and LATS2 were associated with better survival in serous ovarian carcinoma. Despite heterogeneity among the different data sets, LATS expression is not an indicator of survival in serous ovarian cancer and LATS2 expression may even be tumorigenic. LATS expression was neither associated with survival nor with the stage and grade in the Swiss cohort. It was low in cystadenoma, intermediate in carcinoma, and high in borderline tumors and was higher in serous than mucinous ovarian carcinoma. LATS protein expression extent was comparable in epithelial-, intermediate-, and mesenchymal-type ovarian cancer cells and was not associated with drug sensitivity.
CONCLUSION: These results are largely incompatible with a tumor-suppressive function of LATS in ovarian cancer, and LATS protein level is also not an indicator for drug sensitivity and EMT status of ovarian cancer cells.",J. Cancer Res. Clin. Oncol.,2019,"['Montavon C', 'Stricker GR', 'Schoetzau A', 'Heinzelmann-Schwarz V', 'Jacob F', 'Fedier A']",
31580991,Oxygenated Polycyclic aromatic hydrocarbons (Oxy-PAHs) facilitate lung cancer metastasis by epigenetically regulating the epithelial-to-mesenchymal transition (EMT).,"Oxygenated Polycyclic aromatic hydrocarbons (Oxy-PAHs) are widely distributed in the atmosphere, water, soil and sediments. Oxy-PAHs have been proved more carcinogenic than their parent PAHs, while there still lack of studies about the toxicological mechanism of Oxy-PAHs in epigenetic regulation. Our study revealed that exposure to Oxy-PAHs induced the invasion and migration of lung epithelial cells by the activation of epithelial-to-mesenchymal transition (EMT), including the up-regulation of Vimentin and alpha-smooth muscle actin (α-SMA) and the down-regulation of E-cadherin (E-cad). The reactive oxygen species (ROS) promoted histone acetylation mediated-Snail regulating the expression of E-cad after Oxy-PAHs treatment. Meanwhile, DNA methylation was also involved in epigenetic regulation of EMT. These results demonstrated a potential mechanism about Oxy-PAHs facilitate lung carcinogenesis by epigenetic regulation and suggested new ways for the treatment, improvement, and prevention of lung cancer caused by Oxy-PAHs environmental exposure.",Environ. Pollut.,2019,"['Li D', 'Yun Y', 'Gao R']",
31574306,"Cigarette smoke extract modulates E-Cadherin, Claudin-1 and miR-21 and promotes cancer invasiveness in human colorectal adenocarcinoma cells.","BACKGROUND: Cigarette smoke is considered a risk factor for lung and colorectal cancer. A convincing link between epithelial-to-mesenchymal transition (EMT) with colorectal cancer progression and therapeutic resistance has emerged. Deregulated expression of E-Cadherin and Claudin-1 and increased miR-21 expression and invasiveness represent hallmarks of EMT. The effects of cigarette smoke exposure on EMT in colorectal adenocarcinoma cells are largely unknown.
AIM: The aim of the study is to evaluate the effect of cigarette smoke extract (CSE) on miR-21, Claudin-1 and E-Cadherin, molecules associated to EMT in colorectal cancer cells.
METHODS: A human colorectal adenocarcinoma cell line (Caco-2) was treated with CSE at different concentration (5% and 10%) and for different time points (3 h and 24 h). Metabolic activity (by MTS assay), cell necrosis/cell apoptosis (evaluating Propidium Iodide/Annexin V expression by flow cytometry), miR-21, Claudin-1 and E-Cadherin gene expression were evaluated by Real time PCR. Cell permeability, actin polymerization and cancer cell migration was assessed by Trans-Epitelial Electrical Resistance (TEER), Phalloidin expression and matrigel system, respectively.
RESULTS: CSE at all the tested concentrations and at all time points reduced cell necrosis. CSE at 10% increased miR-21 and reduced the metabolic activity, cell necrosis, Claudin-1 and E-cadherin mRNA at 3 h. Cell permeability, actin polymerization and cancer cell migration were all increased upon CSE exposure.
CONCLUSION: These results showed that CSE increasing miR-21, Claudin-1 and E-Cadherin and enhancing the aggressiveness of cancer cells, may concur to colorectal cancer progression.",Toxicol. Lett.,2019,"['Dino P', ""D'Anna C"", 'Sangiorgi C', 'Di Sano C', 'Di Vincenzo S', 'Ferraro M', 'Pace E']",
